number,answer,question
35,1,工廠員工以拉動手推車方式搬運貨品，當行經一路段時，有一小溝渠之蓋 板覆蓋不完全，致使車輪陷入溝中而導致推車傾斜，人員頭部被掉落之貨 品撞傷。請問該職業災害之媒介物為下列何者？ ①蓋板 ②車輪 ③貨品 ④ 手推車 。
36,3,簡易接地電阻測定器因包含測定器之一端連接於低壓電源之迴路，其測定 值包含下列何者，導致精確度較差？ ①絕緣電阻 ②漏電電阻 ③系統接地 電阻 ④設備接地電阻 。
37,4,使用漏電測定器時，下列何者非屬應注意之事項？ ①不可靠近強力磁場  ②避免振動及高溫 ③使用後不可置於毫安培 (mA) 之測量範圍 ④不可接近 接地線 。
38,2,設計超巿櫃檯高度時，採用下列何種設計較能符合實際作業需求？ ①極大 設計 ②平均設計 ③極小設計 ④可調設計 。
39,1,人體溼潤狀態，人體的一部分接觸金屬製電氣機械裝置或構造物時，安全 電壓為多少伏特以下？ ①25 ②35 ③45 ④55 。
40,3,依職業安全衛生設施規則規定，勞工於良導體機器設備內從事檢修工作所 用之手提式照明燈，其使用電壓不得超過多少伏特？ ①6 ②12 ③24 ④28 。
41,3,配電變壓器二次側低壓線，或中性線之接地，可簡稱為下列何者？ ①高壓 或低壓之設備接地 ②內線系統接地 ③低壓電源系統接地 ④二次配電接 地 。
42,2,漏電斷路器種類中之電壓動作型，用來檢測電動機或機器外殼之零相電 壓，動作機構切斷電路，於動作時限 0.2 秒以下，其動作電壓為多少伏特？  ①10 ～20 ②20 ～30 ③30 ～40 ④40 ～50 。
43,1,依職業安全衛生設施規則規定，高壓活線作業時，作業人員對於活線接近 作業，在距離頭上及身側及腳下幾公分以內，應於該電路設置絕線用防護 裝備？ ①60 ②70 ③80 ④90 。
44,3,若電容量以 C 表示，電壓值以V 表示，則帶電體放電火花能量為下列何者？  ①CV/2 ②CV ③CV 2/2 ④CV 2 。
45,4,依職業安全衛生設施規則規定，雇主對於使用對地電壓超過多少伏特以上 之移動式電動機具，應於該電動機具之連接電路上設置合適之漏電斷電 器？ ①50 ②110 ③125 ④150 。
46,3,防止靜電危害對策，下列何者不正確？ ①抑制靜電產生 ②接地疏導 ③使 用絕緣性之材料 ④加濕或游離化 。
47,3,防止電氣火災對策，下列何者不正確？ ①不可擅自使用銅線當作保險絲使 用 ②有爆炸之虞場所應使用防爆型電氣設備 ③電氣乾燥器為保持有效果 不可設排氣設施 ④電氣配線與建築物間應保持安全距離 。
48,1,依機械設備器具安全標準規定，下列何者為動力衝剪機械雙手操作式安全 裝置？ ①安全一行程 ②連續行程 ③一行程 ④寸動行程 。
49,3,依職業安全衛生設施規則規定，吊鏈延伸長度超過百分之多少以上者，不 得做為起重升降機具之吊掛用具？ ①1 ②3 ③5 ④7 。
50,3,依職業安全衛生設施規則規定，吊鏈斷面直徑減少百分之多少以上者，不 得做為起重機及人字臂起重桿之吊掛用具？ ①1 ②5 ③10 ④15 。
51,3,依職業安全衛生設施規則規定，吊掛之鋼索一撚間有百分之多少以上素線 截斷者，不得作為起重機及人字臂起重桿之吊掛用具？ ①1 ②5 ③10 ④ 15 。
52,3,依職業安全衛生設施規則規定，吊掛之鋼索直徑減少達公稱直徑百分之多 少以上者，不得作為起重機及人字臂起重桿之吊掛用具？ ①3 ②5 ③7 ④ 9 。
53,2,皮帶與帶輪間會產生下列何種傷害？ ①剪切 ②捲夾 ③衝壓 ④鋸切 。
54,4,依機械設備器具安全標準規定，下列何者不是衝剪機械的安全防護裝置？  ①防護式安全裝置 ②掃除式安全裝置 ③感應式安全裝置 ④警告標示 。
55,1,依機械設備器具安全標準規定，下列何者不是衝剪機械？ ①橡膠滾輾機  ②油壓衝床 ③動力衝床 ④衝孔機 。
56,1,反撥預防裝置係使用在下列何種機械上？ ①圓盤鋸 ②手推刨床 ③帶鋸  ④立軸機 。
57,2,依機械設備器具安全防護標準規定，撐縫片之厚度應為圓鋸片厚度之幾倍 以上？ ①1 ②1.1 ③1.2 ④1.3 。
58,4,下列何種機械、零件無捲入之危害？ ①轉軸 ②飛輪 ③齒輪 ④衝頭 。
59,3,依職業安全衛生設施規則規定，離地幾公尺以內的轉軸應置適當的圍柵、 掩蓋、護網或套管？ ①1 ②1.5 ③2 ④2.5 。
60,4,木材加工用圓盤鋸防護通常不包括下列何者？ ①護罩 ②撐縫片 ③鋼爪  ④光電連鎖裝置 。
61,3,研磨機起動時，操作員應站在砂輪之何方較為安全？ ①前面 ②後面 ③側 面 ④任何地點 。
62,3,研磨輪之速率試驗應按所標示最高使用周速度增加百分之多少為之？ ① 10 ②20 ③50 ④100 。
63,4,依機械設備器具安全標準規定，動力衝剪機械使用安全模在上死點時，上 模與下模之間隙應在幾公厘以下？ ①5 ②6 ③7 ④8 。
64,4,下列何者為消除操作機械時可能造成壓與夾危害之最好方法？ ①裝設固 定式護罩 ②加強維修保養與檢查 ③訂定標準作業規範 ④增大相對運動機 件間的間隙 。
65,3,依機械設備器具安全標準規定，衝剪機械安全裝置操作用電氣回路之電 壓，應在多少伏特以下？ ①50 ②100 ③160 ④200 。
66,3,依機械設備器具安全標準規定，衝剪機械之雙手操作式安全裝置，其一按 鈕之外側與其他按鈕之外側，至少應距離多少公厘以上？ ①100 ②200 ③ 300 ④400 。
68,4,依職業安全衛生設施規則規定，雇主對研磨機於更換研磨輪後，應先檢驗 有無裂痕，並應在防護罩下試轉多少分鐘以上？ ①0.5 ②1 ③2 ④3 。
69,3,為了滿足機能性安全需求，除了可在設計階段即採用複數（並聯）系統之 外，在使用階段也應注意檢點與維修保養，此即下列何者？ ①防呆措施 ② 本質安全 ③高可靠度技術 ④失效安全 。
70,3,安全資料表至少應每幾年檢討 1 次？ ①1 ②2 ③3 ④4 。
71,2,使勞工認知危害物質必要安全衛生注意事項，以促使其遵守安全衛生操作 程序之制度，係指下列何者？ ①標準作業程序 ②危害通識制度 ③自護制 度 ④自動檢查制度 。
72,4,製備危害物清單之目的為瞭解事業單位危害物質之種類、場所、數量、使 用及下列何項資料？ ①危害物之物性、化性 ②急救方法 ③緊急應變程序  ④貯存 。
73,2,下列何者適用危害性化學品標示及通識規則規定？ ①有害事業廢棄物 ② 裝有危害物質之輸送裝置 ③菸草或菸草製品 ④製成品 。
74,1,因衝剪機械造成夾壓之挫傷，屬於下列何種職業災害類型？ ①被夾、被捲  ②感電 ③墜落 ④不當行為 。
75,1,依危害性化學品標示及通識規則規定，應依實際狀況檢討安全資料表內容 正確性，並適時更新，其更新紀錄應保存多少年？ ①3 ②5 ③6 ④7 。
76,4,危害性化學品為混合物時，下列之敘述何者錯誤？ ①危害性化學品主要成 分濃度重量百分比在百分之一以上者，應列出其化學名稱 ②混合物已作整 體測試者，依整體測試結果，判定危害性 ③未作整體測試者，其健康危害 性，除具有科學資料佐證外，視同具各該成分之健康危害性 ④未作整體測 試者，對於燃燒、爆炸及反應性等物理性危害，視同具各該成分之燃燒、 爆炸及反應性 。
77,3,依危害性化學品標示及通識規則規定，危害性化學品標示之危害圖式符 號，應使用何種顏色？ ①黃色 ②綠色 ③黑色 ④藍色 。
78,3,依危害性化學品標示及通識規則之規定，危害性化學品標示圖式符號之背 景為何種顏色？ ①橙色 ②紅色 ③白色 ④黃色 。
79,1,過氧化丁酮為危害性化學品標示及通識規則中所稱之何種危險物？ ①爆 炸性物質 ②易燃固體 ③自燃物質 ④禁水性物質 。
80,2,一氧化碳為危害性化學品標示及通識規則中所稱之下列何種危害物質？  ①著火性物質 ②有害物 ③爆炸性物質 ④氧化性物質 。
81,2,苯為危害性化學品標示及通識規則中所稱之有害物及下列何種危害物 質？ ①爆炸性物質 ②易燃液體 ③自燃物質 ④禁水性物質 。
82,3,輸氣管面罩屬下列何種防護具？ ①動力過濾式 ②無動力過濾式 ③供氣式  ④組合式 。
83,4,在缺氧或立即致死濃度狀況下作業，應使用下列何種呼吸防護具？ ①負壓 呼吸防護具 ②防塵面具 ③防毒面具 ④輸氣管面罩 。
84,1,當作業場所中含有對眼睛具刺激、危害作用的物質時，使用之防護面具其 面體應為下列何者？ ①全面體 ②寬鬆面體 ③半面體 ④四分之一面體 。
85,3,於亞硫酸氣體場所使用之防毒面具，其濾罐應選用下列何種較適宜？ ①酸 性氣體用濾罐 ②有機氣體用濾罐 ③二氧化硫用濾罐 ④消防用濾罐 。
86,2,自攜式呼吸器其有效使用時間低於多少分鐘時僅能用於緊急逃生？ ①12  ②15 ③18 ④20 。
87,4,下列何者非供氣式呼吸防護具之適用時機？ ①作業場所中混雜有各式毒 性物質，濾毒罐無作用時 ②作業場所中氧氣濃度不足 18 ％ ③作業環境中 毒性物質濃度過高，濾毒罐無作用時 ④佩戴會影響勞工作業績效 。
88,1,下列那種呼吸防護具於使用時，空氣中的有害物較易侵入面體內？ ①負壓 呼吸防護具 ②輸氣管面具 ③自攜式呼吸器 ④正壓供氣式呼吸防護具 。
89,1,呼吸防護具的防護係數為 10，表示該防護具能適用於污染物濃度在幾倍容 許濃度以下之作業環境？ ①10 ②15 ③20 ④100 。
90,3,在救火或缺氧環境下，應使用下列何種呼吸防護具？ ①輸氣管面罩 ②小 型空氣呼吸器 ③正壓自給式呼吸防護具（ SCBA ） ④防毒口罩 。
91,3,"耳部最高敏感度之頻率範圍自 3,000 至 5,000 赫茲，一般聽力損失發生約 在多少赫玆？ ①1,000 ②2,000 ③4,000 ④6,000 。"
92,2,將車床集中成車床班，鑽床集中成鑽床班，是屬於下列何種佈置的形式？  ①固定式 ②功能式 ③製程式 ④混合式 。
93,1,裝配鍋爐的佈置形式，以下列何者為適宜？ ①固定式 ②功能式 ③製程式  ④混合式 。
94,3,下列何者不屬源頭管制之方法？ ①研磨機安裝集塵裝置 ②指定吸菸區 ③ 天花板採用吸音材 ④高溫爐採用隔熱材 。
95,2,下列那項非為部門主管之安全職責？ ①工作安全教導 ②安全政策制訂 ③ 安全教育訓練 ④安全觀察 。
96,1,分析災害原因時，下列何者係屬直接原因？ ①高壓電 ②警報系統不良 ③ 未使用個人防護具 ④防護具未分發給勞工 。
97,2,某一勞工在工作桌上以圓鋸鋸斷木材，手指不慎被鋸傷，則該災害的媒介 物為下列何者？ ①工作桌 ②圓鋸 ③木材 ④傳動帶 。
98,4,某勞工以手鏟鏟煤進鍋爐之燃燒室為火所灼傷，則該災害之媒介物為下列 何者？ ①煤 ②手鏟 ③手 ④鍋爐 。
99,2,系統失誤發生時，可將系統維持在一安全操作狀態，直到狀況解除，此為 下列何種失誤安全設計？ ①被動式 ②主動式 ③調節式 ④功能式 。
100,2,化工儲槽的安全閥係屬下列何種減低危害的防護方式？ ①隔離 ②弱連接  ③閉鎖 ④連鎖 。
101,1,保險絲因迴路開關電流過載時熔斷，使系統保持安全狀態，欲重新啟動需 先將保險絲修復才能作業，此安全設計為下列何者？ ①被動式失誤安全設 計 ②主動式失誤安全設計 ③調節式失誤安全設計 ④功能式失誤安全設 計 。
102,1,使用防爆型電氣開關，使在可燃性氣體之中作業不致發生火花逸出，此為 下列何種安全設計？ ①隔離 ②連鎖 ③閉鎖 ④弱連結 。
103,2,下列何者為安全化構造中，防止人、物、能量或其他因素進入非期望區域 之方法？ ①閉鎖中之 lock -in ②閉鎖中之 lock -out ③連鎖(interlock) ④弱 連結(weak link) 。
104,3,勞工修理混合機時，未將電源開關上鎖，而不知情之第三者將該開關打 開，造成災害，此為沒有做好下列何者？ ①隔離 ②阻卻 ③閉鎖 ④連鎖 。
105,2,在安全改善之優先順序上，當由設計方法消除危害及設計安全防護裝置為 不可行時，下列何者應優先採行？ ①辦理人員安全訓練 ②裝設警報裝置  ③辦理員工健康檢查 ④使用個人防護具 。
106,4,下列何者非安全工程技術「隔離」之應用？ ①設置防爆牆 ②使用隔音裝 置 ③使用鉛隔離輻射 ④使用接地以減少電荷積聚 。
107,1,依機械類產品型式驗證實施及監督管理辦法規定，型式驗證合格證明書之 有效期為多少年？ ①3 ②5 ③10 ④15 。
108,2,完整的監測系統有四個步驟，其正確順序應為下列何者？ ①偵測 (Detec tion) 、解釋(In terpre tation) 、量測( Measurement) 、應變(Response) ② 偵測、量測、解釋、應變 ③量測、偵測、解釋、應變 ④偵測、解釋、應 變、量測 。
109,2,槽內作業， 1 人在槽外監視槽內作業者是否發生危險並提供必要援助，此 為下列何種安全系統？ ①自護系統 ②互護系統 ③偵測系統 ④警告系統 。
110,2,利用人類感官來設計安全警告裝置，其優先順序下列何者為正確？ ①聽 覺、視覺、嗅覺 ②視覺、聽覺、嗅覺 ③嗅覺、聽覺、視覺 ④視覺、嗅覺、 聽覺 。
111,3,下列何者不是以視覺感官方法設計之警告方式？ ①高壓設備之請勿接近 標示 ②危險物運輸卡車上之易燃告示牌 ③以警鈴提示火警 ④夜間障礙物 之紅色閃光燈 。
112,1,當事故發生時，在設計條件下，會使作業中斷以減少或控制任何可能會導 致更嚴重的失誤或災害，此為下列何種防護方式？ ①弱連結 (weak links)  ②互護系統 (b uddy system) ③警告 ④偵測 。
113,1,利用人類感官作為安全警告方式，下列何者應為最優先？ ①視覺 ②聽覺  ③嗅覺 ④對振動及溫度之感覺 。
114,4,當事件 A 發生時，事件 B 將作動，以使偶發事故不致發生，此為下列何種 安全設計？ ①隔離 ②阻卻 ③互護系統 ④連鎖 。
115,2,二個以上之要素各別獨立，並共同組合成災害發生的原因，此種災害發生 之型態為下列何者？ ①串聯型 ②並聯型 ③複合型 ④獨立型 。
116,3,穿戴防護衣或裝備，以防止環境危害所造成之傷害，在危害消除與控制型 態屬下列何者？ ①抑制 ②稀釋 ③隔離 ④連續 。
117,1,機械在轉動、銳邊及帶電部分加以防護，屬於下列何種防護方法？ ①隔離  ②閉鎖 ③連鎖 ④對應 。
118,2,經由反射或吸收能量以減少損害，使殘留量減至危害量以下之方法為何？  ①抑制 ②變流裝置 ③弱連結 ④安全距離 。
119,3,在故障樹分析中，因系統邊界或分析範圍之限制，未繼續分析下去之事 件，或不再深究人為失誤的原因，稱之為何種事件？ ①中間事件 ②基本 事件 ③未發展事件 ④頂端事件 。
120,2,在故障樹分析中，二個或二個以上原因同時發生，才會導致某一中間事件 或頂端事件發生時，需使用何種邏輯閘？ ①或 ②且 ③抑制 ④逆向 。
121,1,Dow 火災爆炸指數是由下列何種方式決定？ ①單元危險因子與物質因子 乘積 ②單元危險因子與單元危險因子乘積 ③損壞因子與物質因子乘積 ④ 單元危險因子與損壞因子乘積 。
122,3,下列何者屬於系統安全危害辨識的定量方法？ ①失誤模式與影響分析 (FMEA) ②初步危害分析 (PHA) ③事件樹分析 (ETA) ④危害與可操作性分 析(HAZOP) 。
123,3,初步危害分析在下列何階段開始施行較好？ ①生產階段 ②試車階段 ③設 計階段 ④建廠階段 。
124,4,下列何者不是採用檢核表分析的限制？ ①在設備設計階段較難運用此表  ②無法進行事故模擬與事故頻率分析 ③品質受限於撰寫人經驗與專業知 識 ④分析方法複雜 。
125,3,下列何者不是設計一份適用的檢核表，所需要的要項？ ①瞭解操作程序及 實際操作情形 ②有經驗的製程、設備及安全工程師 ③設計一份所有製 程、不同操作皆可使用的檢核表 ④找出相關政府法規、公司安全規範及產 業共同標準 。
126,3,下列何種方法係指一種由上而下的方析方式，回溯發展模式，演繹或推論 後果至其原因將各種不欲發生之故障情況？ ①共同原因分析法 ②原因後 果分析法 ③失誤樹分析法 ④初步危害分析法 。
127,2,故障樹分析中邏輯演繹的末端事件，通常是設備或元件故障，或人為失 誤，該末端事件表示的符號為下列何者？ ①□ ②○ ③◇ ④△ 。
128,1,故障樹分析的程序包括四個步驟， (a )定性分析 (b) 尋找基本事件失誤率 (c ) 定量分析 (d) 相對重要性分析，則其正確順序為下列何者？ ①a→b→c→d  ②b→c→a→d ③d→a→b→c ④c→a→b→d 。
129,3,在設計階段或規劃初期階段，最適合使用何種系統分析方法？ ①故障樹分 析 ②查核表 ③初步危害分析 ④危害與可操作性分析 。
130,2,大型化工廠之安全分析最宜採何種定量分析模式？ ①失誤模式與影響分 析 ②故障樹分析 ③檢核表 ④初步危害分析 。
131,1,藉由具經驗之專業人員，針對作業場所之危害特性訂定表格式之檢點項 目，屬於下列何種方法？ ①檢核表 ②如果－結果分析 ③危害與可操作分 析 ④失誤模式與影響分析 。
132,3,針對工作場所或系統內之設備失誤，以表格化方式，找出各種失效模式及 可能造成影響之評估法屬於下列何者？ ①如果－結果分析 ②危害及可操 作性分析 ③失誤模式及影響分析 ④故障樹分析 。
133,4,針對工作場所內可能造成之各種重大災害，以演繹法推導出造成失誤之各 個因子之方法，屬於下列何者？ ①檢核表 (checklist) ②如果－結果分析 (what -if) ③危害與可操作分析 ④故障樹分析 。
134,2,檢核表為用來檢查危害的一種分析工具，其中一種檢核表已將要檢查的項 目完全列出，使用者只要逐項檢核是否符合標準即可，此種為下列何種檢 核表？ ①開放式 ②封閉式 ③混合式 ④半混合式 。
135,2,檢核表之使用，下列敘述何者不正確？ ①用來做為操作訓練之依據 ②不 適合用來做為事故調查之依據 ③有效率達到各個操作階段評估的目的 ④ 使用快速容易、成本較低 。
136,4,下列何種項目不是初步危害分析之應用對象？ ①設計規劃期間的系統 ② 既有系統需評估出重大潛在危害之次系統 ③對大系統中之次系統進行簡 易之風險排序 ④人為故意錯誤之事先預防分析 。
137,3,下列何項是從事損失控制工作的第一步工作？ ①事故的損失之減少 ②事 故原因的控制 ③事故原因的鑑定 ④教育訓練 。
138,3,損失控制實務中，鑑定事故的基本原因是要找出下列何者？ ①危險的情況  ②不安全的方法 ③管理上的錯誤、疏漏 ④不安全的動作 。
139,3,損失控制五大功能中，何者為首要功能？ ①標準 ②量度 ③鑑定 ④評估 。
140,3,總合傷害指數之計算公式為何？ ①傷害損失天數× 10 6/員工全部工時 ②失 能傷害次數× 10 6／員工全部工時 ③(失能傷害頻率×失能傷害嚴重率 )／ 1000 之值的平方根 ④失能傷害次數× 10 6／(312 ×員工全部工時 ) 。
141,1,下列何者不是八大損失控制管理工具之一？ ①實施健康檢查 ②安全檢查  ③事故調查 ④工作安全分析 。
142,3,風險控制執行策略中，下列何者屬於工程控制法？ ①修改操作方法 ②修 改操作條件 ③修改製程設計 ④修改操作步驟 。
143,3,下列何者是安全衛生管理系統之主動式評鑑資料？ ①虛驚事故 ②附近居 民抗議 ③安全衛生稽核 ④主管機關的糾正 。
144,3,風險評估的四大實施步驟， (a) 風險判定 (b) 危害評估 (c )危害辨識 (d) 擬定風 險控制計畫，其實施步驟依序為下列何者？ ①a→b→c→d ②b→c→d→a  ③c→b→a→d ④d→a→b→c 。
145,3,過錳酸鉀與濃硫酸混合時將產生下列何者？ ①混合著火 ②生成不安定鉀 鹽 ③爆炸 ④生成有機過氧化物 。
146,3,下列何者之傳播速度比聲速稍低？ ①火災 ②爆炸 ③爆燃 ④爆轟 。
147,2,在相同爆炸下限，爆炸範圍愈大之可燃性氣體或蒸氣，其爆炸危險性為 何？ ①愈低 ②愈高 ③相同 ④無相關性 。
148,4,粉塵爆炸是屬於何種化學反應？ ①氣相 ②固相 ③氣相與液相 ④氣相與 固相 。
149,4,金屬鋰、鈉、鉀引起火災屬於下列何類火災？ ①A 類 ②B 類 ③C 類 ④D 類 。
150,4,下列何者不適合用於撲滅電氣火災？ ①二氧化碳 ②BC 乾粉 ③ABC 乾粉  ④水 。
151,2,若將可燃性混合氣體與著火源完全隔離狀態下予以加熱時，當達到某一溫 度，就會自然著火燃燒，此時之溫度，稱為該物質之下列何者？ ①引火點  ②著火點 ③閃火點 ④沸點 。
152,4,可燃性液體的蒸氣壓不受下列何者影響？ ①溫度 ②壓力 ③添加物 ④開 口容器的形狀 。
153,2,在燃燒界限範圍內，可燃性氣體蒸氣與空氣的混合濃度在靠近燃燒界限值 附近時，反應速度為何？ ①最大 ②最小 ③不變 ④先變大後減小 。
154,1,火焰的傳播速度在亂流時比在層流時為何？ ①快 ②慢 ③相同 ④不一定 。
155,1,在火災學上，為了滅火之便，將火災分為 A、B、C、D（或甲、乙、丙、 丁）四類；下列何者為 B 類火災？ ①油類火災 ②普通火災 ③金屬火災 ④ 電氣火災 。
156,3,下列何者為物理性爆炸？ ①失控反應爆炸 ②粉塵爆炸 ③水蒸汽爆炸 ④ 核子反應 。
157,1,空氣中之可燃性氣體濃度較理論混合比為高時，將產生不完全燃燒，而生 成 CO 等氣體，此時其燃燒速度將為何？ ①變慢 ②變快 ③不變 ④無關 。
158,4,下列何者非為粉塵雲之點火源？ ①明火 ②熱表面 ③火花 ④輻射熱 。
159,1,下列何者非為爆炸抑制系統之單元？ ①警報器 ②安全閥 ③控制系統 ④ 滅火劑 。
160,2,下列何者非為化學失控反應之原因？ ①微量不純物之濃縮 ②溫度過低 ③ 原料比例錯誤 ④混合發熱 。
161,4,以乾粉滅火器進行滅火，係屬於下列何種控制方法？ ①安全距離 ②壓力 釋放口 ③冷卻 ④隔離 。
162,2,下列何種因素非為選取風險管理稽核頻率之要素？ ①法令需求 ②稽核成 本 ③危害特性 ④低度風險製程經驗 。
163,4,下列何者屬神經方面的傷害？ ①肌腱炎 ②腱鞘炎 ③扳機指 ④腕道症候 群 。
164,3,下列何者不屬於重複性肌肉骨骼傷害預防之行政管理作為？ ①員工篩選  ②人員訓練 ③工程改善 ④工作輪換 。
165,3,解決重複性骨骼肌肉病變應依下列何者順序為之？ ①評估→認知→改善  ②評估→改善→認知 ③認知→評估→改善 ④改善→認知→評估 。
166,3,下列何者是主動監測之項目？ ①意外傷害報告 ②請假紀錄 ③現場訪查  ④勞保給付資料 。
167,1,依用戶用電設備裝置規則規定，高速形之漏電斷路器，在額定動作電流 下，其動作時間需在多少秒以內？ ①0.1 ②0.5 ③1.0 ④2.0 。
168,1,人類行為複雜多變，其信賴遠不如機械，故防止職業傷害，應優先選擇下 列何者？ ①本質安全化 ②作業自動化 ③設備裝設防護具 ④採用個人防 護具 。
169,4,為確保安全績效，下列何種措施應優先採用？ ①安全教育訓練 ②縮短工 作時間 ③提供使用個人防護具 ④採用工程控制 。
170,1,因感電而跌倒致生傷害時，應歸類於下列何種職業災害類型？ ①感電 ② 跌倒 ③墜落、滾落 ④不當行為 。
171,2,因踏穿而墜落致傷害時，應歸類為下列何種職業災害類型？ ①踏穿 ②墜 落 ③物體飛落 ④衝撞 。
172,1,因沖床模具、鍛造機槌等造成之捲夾挫傷，屬於下列何種職業災害類型？  ①被夾、被捲 ②被切、割、擦傷 ③衝撞 ④不當行為 。
173,3,危害評估之人員因素分析中，下列何者不屬於行為上因素？ ①抄捷徑 ② 喜歡冒險 ③知識不足 ④缺乏警覺 。
174,2,暫時全失能係指罹災者未死亡，亦未永久失能，但不能繼續其正常工作， 損失工作時間達多久以上者？ ①1 小時 ②1 日 ③1 星期 ④1 個月 。
175,4,危害評估之因素不包括下列何種因素？ ①人員 ②環境 ③管理 ④利潤 。
176,2,職業災害按失能傷害分類方式為下列何種？ ①失能與非失能傷害兩種 ② 死亡、永久全失能、永久部分失能、暫時全失能四種 ③過失與無過失兩種  ④重傷害與輕傷害兩種 。
177,3,機器緊急停止觸控鈕之距離設計的原則，下列何者為佳？ ①可調設計 ② 極大設計 ③極小設計 ④平均設計 。
178,2,重複性傷害預防有五大步驟： (a) 工程改善 (b) 確定改善目標 (c )行政管理 (d) 改善績效評估 (e )尋找累積性傷害的潛在危險因子；其預防步驟依序為下列 何者？ ①a→d→b→c→e ②b→e→a→c→d ③b→c→e→a→d ④e→b→c→ a→d 。
179,1,身體某部位經年累月，且頻率很高的不斷執行某種動作，此種特性屬於下 列何者？ ①重複性 ②連續性 ③漸進性 ④累積性 。
180,4,危害預防與控制的目的在於使工作、工具及工作環境適合員工，下列何者 不為避免「振動」危害因子所造成傷害的預防之道？ ①裝設緩衝阻尼 ② 使用防震設備 ③座位與振動源分離 ④使用非黏滯性包裝材料 。
181,3,從人因之角度，下列何種工作空間設計，屬於較適合站姿作業？ ①所有零 件、工具能就近取得之作業 ②作業時雙手抬起不超過 15 公分 ③處理物品 重量大於 4.5 公斤 ④以精密組裝或書寫為主的作業 。
182,1,電腦為現代作業場所不可或缺的工具，但長時間的使用電腦，易使工作者 產生何種傷害？ ①腕隧道症候群 ②腱鞘炎 ③白指症 ④網球肘 。
183,2,下列何者不是避免靜電危害之防護措施？ ①接地與等電位連結 ②穿戴安 全眼鏡與手套 ③降低摩擦速率 ④使用電荷中和器 。
184,1,請有工作安全評估經驗的專家，對工廠各方面進行一般性的檢查，其範圍 很廣，而所需的時間較短，此種危害評估技術，屬於下列何者？ ①初步危 害分析 ②危害與可操作性分析 ③故障樹分析 ④影響分析 。
185,2,下列何項危害評估技術之目的在於對不同程度之潛在災變事故狀況，作定 性和定量分析，藉以判斷各種災變事故對廠內工作人員、周圍居民和環境 影響之程度？ ①初步危害分析 ②危害與可操作性分析 ③影響分析 ④故 障樹分析 。
186,124,下列那些為木材加工用圓盤鋸之安全防護裝置？ ①護罩 ②護圍 ③墊圈  ④撐縫片 。
187,124,依勞工健康保護規則規定，下列之醫療衛生設備，那些是事業單位法定必 備之項目？ ①血壓計 ②靜脈點滴注射器及注射台 ③救護車 ④氧氣及氧 氣吸入器 。
188,124,依勞工健康保護規則規定，下列那些是特別危害健康之作業？ ①游離輻射 作業 ②鉛作業 ③重體力勞動作業 ④粉塵作業 。
189,13,依勞工健康保護規則規定，下列那些作業不適合罹患高血壓症者從事？ ① 高溫作業 ②起重機運轉作業 ③重體力勞動作業 ④非游離輻射作業 。
190,13,依危險性工作場所審查及檢查辦法規定，下列何者屬丁類危險性工作場 所？ ①建築物頂樓樓板高度在 80 公尺以上之建築工程 ②模板支撐高度在 五公尺以上之工程 ③單跨橋梁之橋墩跨距在 75 公尺以上或多跨橋梁之橋 墩跨距在 50 公尺以上之橋梁工程 ④長度 500 公尺未有豎坑之隧道工程 。
191,14,乙類危險性工作場所於審查後，勞動檢查機構應實施 檢查之設施為何？ ① 火災爆炸危害預防設施 ②墜落危害預防設施 ③人員感電預防措施 ④有害 物洩漏及中毒危害預防設施 。
192,13,丁類危險性工作場所之施工安全評估報告書內容，除包含施工災害初步分 析表、特有災害評估表、施工計畫之修改外，尚須包括那些？ ①報告簽認  ②製程修改安全計畫 ③基本事項檢討評估表 ④製程安全評估表 。
193,14,下列哪些是暴露鋼筋危害的適當防止方法？ ①鋼筋尖端彎曲 ②鋼筋尖端 漆以防鏽漆 ③鋼筋尖端綁上塑膠繩 ④鋼筋尖端加蓋 。
194,124,依營造安全衛生設施標準規定，為防止屋頂作業人員墜落，應考量哪些因 素？ ①屋頂斜度 ②屋頂材料性質 ③屋頂材料價格 ④天候 。
195,123,為防止捲揚機吊運物料時，發生物料飛落而傷害勞工，下列哪些為職業安 全衛生設施規則規定之措施？ ①設置信號指揮聯絡人員 ②設有防止過捲 裝置 ③吊掛用鋼索等吊具若有異狀應即修換 ④需經檢查機構檢查合格始 准使用 。
196,123,為確保木材構築施工架之安全，下列哪些為營造安全衛生設施標準所規定 者？ ①木材應完全剝除樹皮 ②不得施以油漆 ③不得有損及強度之裂隙  ④木材應為松木 。
197,124,對於營建用提升機，下列敘述何者正確？ ①雇主於中型營建用提升機設置 完成時，應自行實施荷重試驗，試驗紀錄應保存 3 年 ②應於捲揚用鋼索上 加註標識或設置警報裝置等，以預防鋼索過捲 ③如瞬間風速有超過每秒 20 公尺之虞時應增設拉索，以預防其倒塌 ④使用應不得超過積載荷重 。
198,134,下列哪些為使用道路作業之工 作場所，為防止車輛突入等引起之危害，應 辦理之事項？ ①作業人員應戴安全帽、穿著顏色鮮明之施工背心 ②不得 於夜間作業 ③與作業無關之車輛禁止停入作業場所 ④不得造成大眾通行 之障礙 。
199,123,下列哪些為局限空間作業場所應公告使作業勞工周知的事項？ ①進入該 場所時應採取之措施 ②事故發生時之緊急措施及緊急聯絡方式 ③現場監 視人員姓名 ④內部空間的大小 。
